vin,color,brand,model,engine,transmission,mileage,price,sale,dealer,owner
65,Grey,Hyundai,Grandeur XG,Diesel,Automatic,40877,50985,265,11,372
66,Grey,Hyundai,Stellar,V8,Standard,59408,77054,860,3,389
67,Light Grey,Renault,Premium,Petrol,Automatic,29060,122170,902,4,6
68,Blue,Jaguar,Vanden Plas,V6,Automatic,69540,20581,921,16,190
69,Green,Peugeot,406,Diesel,Standard,18870,133202,932,4,484
70,Dark Grey,BMW,540,Electric,Standard,2987,8519,564,1,217
71,Purple,Nissan,X-Trail,Electric,Standard,30134,43861,,16,
72,White,Subaru,B9 Tribeca,V8,Automatic,30584,104682,455,24,202
73,Beige,Alfa Romeo,147,V6,Automatic,20879,42601,496,1,367
74,Dark Blue,Renault,Alliance,V6,Standard,46017,112853,162,11,453
75,Orange,Mazda,B2300,V8,Automatic,5135,56402,983,20,56
76,Dark Blue,Porsche,Carrera 911S,W,Standard,24165,29949,275,5,328
77,Pearl,Mazda,Cosmo,W,Standard,60184,124167,853,19,342
78,Orange,Renault,17,Inine,Automatic,41657,2197,,17,
79,Beige,Alfa Romeo,GT,Inine,Standard,31895,9310,640,27,339
80,Dark Grey,Porsche,Speedster,Diesel,Automatic,19369,132184,525,8,311
81,Green,Audi,V8,Electric,Automatic,2918,48615,,12,
82,White,Fiat,Seicento,Inine,Automatic,42613,105646,842,2,64
83,White,Suzuki,Swift+,Petrol,Automatic,52381,105006,185,11,278
84,White,Fiat,Uno,W,Automatic,31893,25732,291,19,384
85,Light Grey,Volkswagen,Truck Bus,Inine,Standard,54328,49963,,14,
86,Dark Grey,Porsche,Boxster,W,Automatic,4178,28235,375,18,131
87,Orange,Volkswagen,Truck Bus,Petrol,Automatic,38474,74529,65,17,443
88,Blue,Volkswagen,Jetta,W,Standard,18860,52251,21,4,110
89,Dark Green,Chevrolet,Venture,V8,Automatic,34891,74805,486,13,338
90,Dark Green,GMC,Suburban,V8,Automatic,61460,17398,298,4,372
91,White,Honda,Accord Coupé,W,Standard,30072,107403,698,5,255
92,Grey,GMC,Pickup,Diesel,Standard,11852,80202,292,27,257
93,Green,Volkswagen,Golf IV,V6,Automatic,63163,59984,,14,
94,Orange,Audi,4000,Petrol,Standard,25752,54732,333,18,423
95,Blue,Jaguar,XJ6 Serie 2,Diesel,Standard,51122,96953,,24,
96,Yellow,Ferrari,246,Diesel,Automatic,31463,136576,402,20,355
97,Grey,Fiat,Scudo,V6,Standard,58201,41781,715,22,5
98,Dark Grey,Kia,Amanti,W,Standard,66350,24617,196,16,426
99,Yellow,BMW,330,W,Standard,10849,17249,364,13,458
100,Pearl,Renault,Encore,W,Automatic,16448,33378,935,14,433
101,White,Subaru,WRX STi,Electric,Automatic,68777,7988,942,12,400
102,Dark Blue,Suzuki,Swift,Diesel,Standard,34386,80066,,14,
103,Red,BMW,750,Electric,Standard,7435,10148,763,25,219
104,Pearl,Suzuki,Vitara,W,Standard,5748,73393,769,2,7
105,Grey,Pontiac,Fleetleader,V8,Automatic,1672,103682,870,12,271
106,Beige,Ferrari,365,W,Automatic,58073,75733,949,26,381
107,Yellow,Toyota,Pickup,Inine,Standard,3292,137785,41,18,208
108,Dark Green,Hyundai,Amica,V8,Standard,53269,37000,,1,
109,Dark Blue,Maserati,430,Petrol,Automatic,41529,141829,72,1,110
110,Pearl,Maserati,GranSport Spyder,V6,Automatic,62923,120323,603,25,95
111,Light Grey,Ferrari,GTS,V6,Standard,5462,84362,14,19,210
112,Black,Kia,Spectra 5,V8,Automatic,38223,21620,536,27,140
113,White,Toyota,LandCruiser 90,Inine,Standard,68510,59478,12,13,67
114,Grey,Porsche,Cayenne,V8,Standard,34169,40008,,2,
115,Light Grey,Jaguar,XJ Series,Petrol,Automatic,58368,140468,,7,
116,Black,Hyundai,XG300,V8,Automatic,7250,78263,999,23,172
117,Dark Green,Peugeot,504,Petrol,Standard,65428,65773,,29,
118,Black,Volkswagen,Fox,Petrol,Automatic,26008,21218,116,28,16
119,Red,Volkswagen,Golf Plus,W,Automatic,57288,146115,475,24,373
120,Dark Green,Audi,V8,W,Standard,24703,146226,745,26,403
121,White,Fiat,500,Diesel,Standard,68372,70156,725,1,205
122,Yellow,GMC,Canyon,Inine,Standard,436,104070,581,5,202
123,Light Grey,GMC,Yukon XL,W,Automatic,74687,130684,361,1,397
124,Red,Volkswagen,Golf Cabriolet,Diesel,Automatic,985,137631,216,24,456
125,Beige,Peugeot,1007,V6,Standard,6141,143294,,7,
126,Red,Maserati,Quattroporte,W,Automatic,67595,74678,650,23,467
127,Dark Green,Renault,5,W,Standard,32542,35438,,12,
128,Dark Green,Jaguar,XJ12,V8,Automatic,53055,133399,,9,
129,Red,Lexus,SC 430,Diesel,Standard,25274,89186,316,1,407
130,Dark Grey,GMC,Jimmy,W,Automatic,19585,24971,834,16,467
131,Dark Blue,Nissan,King Cab,Electric,Standard,8512,4671,553,12,217
132,Pearl,Audi,A3,V6,Standard,44228,62440,17,0,398
133,Dark Green,Chevrolet,Beretta,W,Standard,44685,88784,,25,
134,Dark Green,Ferrari,196,W,Automatic,36605,51418,588,3,441
135,Yellow,Fiat,Idea,Electric,Automatic,29820,59806,675,2,486
136,Red,GMC,Sprint,Petrol,Automatic,30562,67398,172,9,43
137,Black,Chevrolet,Chevette,V6,Automatic,66040,147207,588,3,441
138,Orange,Alfa Romeo,GTV-6,V8,Automatic,44397,71560,132,27,375
139,Purple,BMW,525,Inine,Automatic,39924,102318,,6,
140,Purple,BMW,5 Series,Inine,Standard,53072,74878,14,19,210
141,Purple,Nissan,Sunny Combi,V6,Automatic,14172,136522,541,19,333
142,Pearl,Volkswagen,Taro,V6,Automatic,19936,44862,,12,
143,Orange,Jaguar,XJ Series,W,Automatic,58483,13433,921,16,190
144,Red,Volkswagen,Polo,Diesel,Standard,5361,107737,585,11,147
145,Green,Alfa Romeo,GT,V6,Automatic,73402,76081,961,23,62
146,Black,Ferrari,286,V8,Standard,22228,43267,483,27,125
147,Dark Blue,Alfa Romeo,Spider,Petrol,Automatic,69490,102552,697,18,171
148,Purple,BMW,320,V6,Standard,58869,10355,641,19,443
149,Beige,Suzuki,Forsa,V8,Standard,45375,49391,,15,
150,Green,Suzuki,SX4,Diesel,Standard,23931,101026,849,24,306
151,Dark Grey,GMC,Suburban,V6,Standard,51311,19576,18,10,409
152,Green,Renault,21,Petrol,Automatic,3114,43649,267,3,369
153,Orange,Porsche,924,Electric,Automatic,14621,26571,794,10,165
154,White,Mazda,6 Sport,Petrol,Standard,74083,112508,577,9,121
155,Purple,Renault,Espace,Electric,Automatic,38633,137866,852,4,330
156,Pearl,Alfa Romeo,145,Diesel,Standard,4795,82759,,19,
157,Purple,Honda,Accord Coupé,V6,Automatic,38697,84788,,9,
158,Dark Grey,Alfa Romeo,146,Electric,Standard,6835,99215,841,12,197
159,Grey,Volkswagen,Corrado,Diesel,Automatic,73932,53710,857,4,23
160,Dark Grey,Volkswagen,GTI,Inine,Standard,18837,111841,,12,
161,Dark Grey,Fiat,131,W,Standard,54812,128166,666,21,48
162,Dark Blue,Volkswagen,Eos,Electric,Automatic,8589,65221,235,22,436
163,Dark Green,Alfa Romeo,155,W,Automatic,62409,142533,781,4,27
164,Black,Mazda,B-series,Petrol,Standard,58374,108497,225,2,309
165,Dark Blue,Suzuki,Jimny,Electric,Standard,60566,90787,163,18,177
166,White,Suzuki,Esteem,Electric,Automatic,71161,77213,977,5,34
167,Red,Volkswagen,T5 Pickup,Electric,Standard,38362,18400,737,0,134
168,Yellow,Mazda,323 F (BJ),Electric,Automatic,56059,49129,460,15,489
169,Black,Maserati,Spyder,V8,Automatic,21901,63963,,29,
170,Dark Grey,Ferrari,412,V8,Standard,20885,92402,241,4,211
171,Yellow,Alfa Romeo,145,Petrol,Standard,55367,98506,348,22,57
172,Dark Blue,Pontiac,Trans Sport,V8,Automatic,38386,69153,673,4,43
173,Orange,Toyota,Cressida,Petrol,Standard,13699,104316,146,24,210
174,Dark Blue,Nissan,Patrol,Inine,Automatic,29898,63876,329,14,133
175,Red,Ford,Probe,Inine,Standard,57,87805,768,12,234
176,Light Grey,Ford,F-250,Petrol,Standard,11056,83689,,5,
177,White,Lexus,LS 400,V6,Standard,29726,101075,708,22,312
178,Yellow,Nissan,Titan,V6,Automatic,35239,5675,428,18,490
179,Red,Hyundai,Terracan,V8,Standard,63206,144960,655,23,33
180,Purple,Mazda,MX 3,W,Automatic,60923,38036,833,18,482
181,Beige,Honda,Civic,V8,Standard,40506,49179,893,11,323
182,Blue,Alfa Romeo,75,Petrol,Standard,49857,92915,522,0,385
183,Pearl,Alfa Romeo,GTV,Petrol,Automatic,16370,86554,506,23,125
184,Purple,Audi,Q7,Diesel,Automatic,67264,13102,490,21,444
185,Light Grey,Fiat,Ulysse,Inine,Standard,72799,28489,683,17,125
186,Black,Maserati,Merak,Inine,Automatic,4784,32918,803,0,237
187,Beige,Jaguar,XJ12,V6,Standard,25697,81840,185,11,278
188,Green,Pontiac,Ventura,V6,Automatic,28888,81536,630,14,122
189,Light Grey,Renault,Modus,Electric,Standard,28162,141065,351,8,340
190,White,Porsche,924,Inine,Automatic,43044,94908,,2,
191,Dark Green,Volkswagen,Polo,Petrol,Automatic,45692,9727,953,29,478
192,Blue,Mazda,Xedos 9,W,Standard,1605,116453,278,7,362
193,Dark Grey,Ford,Custom,Petrol,Automatic,28137,102370,89,14,405
194,Black,BMW,M3,Petrol,Automatic,56758,99059,726,7,493
195,Grey,Suzuki,Vitara,Diesel,Standard,57233,42007,645,8,93
196,Purple,Chevrolet,Z24,Electric,Standard,59120,18557,,19,
197,Dark Green,Fiat,Doblò,Petrol,Automatic,57477,121518,20,8,28
198,Pearl,Maserati,Ghibli,V6,Automatic,72678,128024,471,10,196
199,Blue,Ferrari,GTS,Electric,Automatic,39048,47365,212,8,450
200,Grey,Fiat,Palio,V8,Automatic,40870,129899,168,9,106
201,Green,Pontiac,Fiero,W,Standard,36356,43850,504,15,126
202,Grey,Toyota,Yaris,Electric,Standard,21402,61051,440,7,487
203,Light Grey,Subaru,Leone,W,Automatic,44893,12759,890,5,274
204,Pearl,Kia,Carens,V8,Standard,46867,80223,866,4,183
205,Beige,Peugeot,605,V6,Standard,40097,102913,231,28,497
206,Pearl,Kia,Sorento,W,Automatic,19499,38261,875,0,489
207,Yellow,Alfa Romeo,GT,V6,Standard,33076,72242,,5,
208,Dark Grey,BMW,635,V6,Standard,43682,45883,644,19,145
209,Orange,Mazda,B2600,W,Automatic,70944,140160,748,20,431
210,Grey,Honda,Integra,Electric,Standard,1710,52364,903,11,159
211,White,Nissan,Sentra,Petrol,Standard,30784,30731,,19,
212,Dark Blue,Suzuki,Esteem,Petrol,Automatic,44999,116615,,25,
213,Purple,GMC,Tracker,Diesel,Standard,46964,110747,402,20,355
214,Dark Grey,Ford,Puma,Diesel,Standard,68934,48101,783,1,60
215,Beige,Chevrolet,K1500,V6,Automatic,72388,91281,328,5,433
216,Orange,Mercedes Benz,SLK350,V8,Standard,28094,127834,831,15,155
217,White,Chevrolet,C2500,Inine,Standard,25404,43928,153,2,50
218,Light Grey,Nissan,Sentra,Inine,Standard,26478,28662,704,16,75
219,Red,Porsche,Cayman,Petrol,Standard,13122,123406,270,19,154
220,Light Grey,Toyota,MR2 Spyder,Inine,Standard,36928,106794,689,25,5
221,Pearl,Fiat,Panda,Inine,Automatic,39683,37377,234,8,80
222,Green,Jaguar,XJ8 Vanden Plas,Electric,Standard,51467,125378,78,17,142
223,Pearl,GMC,Envoy XUV,Electric,Automatic,12539,6177,,19,
224,Purple,Ferrari,500,Electric,Standard,8653,34650,886,1,404
225,Grey,Alfa Romeo,Alfetta,W,Automatic,27229,117515,,22,
226,Yellow,Kia,Mentor,W,Standard,34438,86945,243,21,451
227,Dark Blue,GMC,Sonoma,V8,Standard,25705,108555,726,7,493
228,Yellow,Porsche,Carrera 911S,Inine,Automatic,4993,19862,38,7,114
229,Grey,Audi,A3,Inine,Automatic,15267,94864,,25,
230,Purple,Pontiac,Formula,Petrol,Standard,74840,129155,782,17,180
231,Red,Renault,Encore,V8,Automatic,2352,86247,627,6,304
232,White,Porsche,Carrera,Inine,Automatic,13588,78157,504,15,126
233,Light Grey,Renault,Modus,Diesel,Automatic,3968,33550,,8,
234,Yellow,BMW,6 Series,Diesel,Automatic,69052,8788,473,5,233
235,Red,Ferrari,550,Inine,Automatic,37518,124018,,9,
236,Grey,Porsche,Speedster,W,Standard,16866,2595,987,4,261
237,Grey,Toyota,Cressida,V6,Standard,35047,141889,,17,
238,Grey,Alfa Romeo,GT,W,Automatic,49004,76206,810,7,376
239,Beige,Ford,E-150,Diesel,Standard,15621,65542,,20,
240,Light Grey,Honda,Civic Hybrid,V6,Standard,53058,125530,485,24,216
241,Green,Mercedes Benz,C320,Inine,Standard,45004,11432,620,12,476
242,Orange,Jaguar,XJ Series,Petrol,Automatic,48053,146598,769,2,7
243,Purple,Nissan,Almera Tino,W,Standard,15016,79372,0,25,478
244,Dark Grey,BMW,Z8,V8,Automatic,20214,56401,887,29,343
245,Blue,Renault,Magnum,V8,Standard,46970,47969,402,20,355
246,Blue,Maserati,3500 GT,Inine,Standard,65444,5245,897,7,65
247,Yellow,Fiat,Seicento,Petrol,Standard,53779,75198,,0,
248,Pearl,Fiat,Croma,Petrol,Automatic,47191,59319,66,4,351
249,Dark Green,Ferrari,196,W,Automatic,64962,48986,723,10,136
250,Blue,Nissan,Pathfinder Armada,V6,Standard,50697,2604,769,2,7
251,White,Lexus,LS 430,Electric,Automatic,33646,123383,637,14,158
252,Light Grey,Audi,R8,V8,Automatic,53353,93141,413,13,35
253,Yellow,Maserati,Shamal,Petrol,Automatic,14791,110641,,12,
254,Beige,Chevrolet,G1500,Petrol,Automatic,26043,8710,499,2,355
255,Light Grey,Alfa Romeo,Milano,V8,Automatic,36398,142202,313,1,126
256,Orange,Kia,Picanto,Electric,Automatic,2408,80582,299,13,294
257,Light Grey,BMW,Isetta,Petrol,Standard,49141,112948,,27,
258,Red,GMC,Van,Electric,Automatic,74640,84269,272,4,3
259,Orange,Porsche,928,W,Automatic,42088,102032,893,11,323
260,Dark Blue,Maserati,GranSport,Diesel,Standard,16589,102344,153,2,50
261,Orange,Pontiac,Fleetleader,V6,Standard,56371,84956,235,22,436
262,Grey,Honda,Concerto,W,Automatic,842,122760,480,6,339
263,Beige,Maserati,Biturbo,V8,Standard,5366,91503,879,0,205
264,Green,Subaru,SVX,W,Standard,71259,107396,827,25,114
265,Dark Grey,Subaru,Outback Sport,Petrol,Automatic,69694,35042,817,24,247
266,Blue,Suzuki,Aerio,Inine,Standard,227,52655,18,10,409
267,Blue,Mazda,Bravo 2600,Electric,Standard,70434,57068,874,28,110
268,Green,Mercedes Benz,C350,Petrol,Automatic,6046,130652,831,15,155
269,Orange,Fiat,Dino,Diesel,Standard,5243,106478,16,26,107
270,Beige,GMC,Yukon XL,W,Automatic,26371,59224,974,25,89
271,Green,Audi,100 C4 Series,Petrol,Automatic,20972,60626,954,2,464
272,Green,Ferrari,268,Electric,Automatic,63395,71144,792,21,284
273,Orange,Ford,Custom,Petrol,Standard,66917,68075,464,11,202
274,Pearl,Ford,Sierra,V8,Standard,51873,67254,960,9,164
275,Blue,Porsche,911 Turbo,V6,Automatic,51801,105857,860,3,389
276,Green,Peugeot,1007,V6,Automatic,45836,102952,294,0,305
277,Dark Grey,Audi,100 V6,Inine,Automatic,6887,15003,,23,
278,Dark Blue,Subaru,4x4 Turbo,Electric,Standard,961,101611,395,26,168
279,Black,Fiat,Ulysse II,V8,Automatic,34317,113187,,11,
280,Grey,Chevrolet,Trailblazer,Electric,Automatic,13248,59324,254,12,478
281,Beige,Jaguar,XK,Petrol,Standard,52196,51299,932,4,484
282,Yellow,Chevrolet,K2500,V8,Standard,10210,55509,378,19,288
283,Dark Green,Audi,RS 6,Diesel,Standard,45861,3413,63,23,216
284,Grey,Mazda,MX-5,W,Automatic,29218,133933,24,8,88
285,Dark Green,Maserati,Khamsin,Electric,Standard,49683,12783,209,23,418
286,Blue,Nissan,200SX,Petrol,Automatic,48579,19178,602,29,447
287,Yellow,Chevrolet,Envoy,Inine,Standard,48674,22887,709,14,177
288,White,Chevrolet,Corsica,Diesel,Standard,30015,67716,,0,
289,Grey,Pontiac,Ventura,Diesel,Standard,60570,94022,399,5,101
290,Green,Porsche,996,W,Standard,56592,122664,534,29,399
291,Blue,Jaguar,XKR,Petrol,Standard,16798,82167,275,5,328
292,Black,Ford,E-150,V8,Standard,50200,149861,,24,
293,Light Grey,Audi,100 C4 Series,V8,Standard,53859,124533,342,6,221
294,Black,Volkswagen,Truck Bus,V6,Automatic,16617,43237,,25,
295,Green,Ferrari,599,Petrol,Automatic,8541,26584,968,21,127
296,Dark Blue,GMC,Pickup,Diesel,Automatic,16066,97193,,23,
297,Purple,Chevrolet,Pick-up,W,Standard,6155,10990,328,5,433
298,Beige,Kia,Credos,Diesel,Standard,22494,149738,912,16,230
299,White,Fiat,Spider,Inine,Standard,64564,20194,324,11,275
300,Blue,Kia,Sedona,V8,Standard,67469,66056,934,7,21
301,Black,Alfa Romeo,GTV-6,W,Standard,62875,19035,,29,
302,Light Grey,Lexus,Harrier 4x4,Inine,Automatic,9360,85199,880,12,160
303,Light Grey,Porsche,Carrera,V8,Automatic,3213,115031,,14,
304,Dark Grey,Suzuki,Forsa,Petrol,Standard,67644,128152,,15,
305,Dark Green,Fiat,X1/9,V6,Standard,58144,19651,,1,
306,Orange,Fiat,Palio,W,Automatic,23074,24971,511,17,427
307,Dark Grey,Porsche,911,V6,Standard,68531,147363,271,9,175
308,Light Grey,Subaru,STi,Inine,Automatic,9383,23531,,6,
309,Red,Fiat,130,Petrol,Automatic,13481,142991,846,9,463
310,Blue,Audi,100 V6,V6,Automatic,8817,31341,173,21,10
311,Black,Mercedes Benz,S420,Petrol,Automatic,60974,129276,466,28,323
312,Yellow,Suzuki,Liana,Inine,Standard,24661,76681,878,6,38
313,Light Grey,Chevrolet,Beauville,Diesel,Standard,57167,13043,,19,
314,Yellow,Chevrolet,C2500,V6,Standard,67531,93382,757,3,47
315,Grey,Kia,Mentor,Inine,Automatic,30541,121259,899,22,237
316,Grey,Jaguar,XK8,Petrol,Standard,45476,9518,154,24,365
317,Dark Grey,Suzuki,Liana,V8,Automatic,29764,69213,883,16,35
318,White,Alfa Romeo,Spider,Diesel,Automatic,53324,146820,,6,
319,Pearl,Jaguar,X300,W,Automatic,74721,141423,605,26,386
320,White,Audi,Q7,Petrol,Standard,48043,24255,,16,
321,Yellow,Lexus,SC 300,Petrol,Automatic,16398,149096,394,10,148
322,Light Grey,Suzuki,Jimny,Diesel,Standard,68434,52621,857,4,23
323,Pearl,Jaguar,XJ12,Petrol,Automatic,22317,8805,44,11,91
324,Red,Volkswagen,Golf I,Electric,Automatic,66774,9918,726,7,493
325,Blue,Kia,Sephia Sedan,V6,Automatic,14212,102774,416,23,165
326,Black,Porsche,Boxster,Diesel,Automatic,45044,41925,,21,
327,Yellow,Renault,19,Electric,Automatic,67561,49700,605,26,386
328,Dark Green,Audi,Fox,Petrol,Automatic,16221,29588,560,18,82
329,Black,Pontiac,Sunfire,V8,Automatic,63154,139980,38,7,114
330,Green,Maserati,Coupé,W,Standard,46550,27333,860,3,389
331,Beige,Subaru,Leone,W,Automatic,10964,136217,652,25,51
332,Blue,Hyundai,Atos,V6,Automatic,47506,124707,31,19,420
333,Dark Grey,Subaru,Forester,Petrol,Standard,71839,30275,,17,
334,Red,Volkswagen,Polo Classic,Petrol,Automatic,56761,43128,418,26,152
335,Dark Blue,Hyundai,Amica,Inine,Standard,64642,34199,202,5,128
336,Red,Lexus,RX 330,Electric,Standard,14049,112507,,22,
337,Pearl,Mazda,Cosmo,Petrol,Standard,58472,110306,332,9,428
338,Blue,Jaguar,E-type,Inine,Automatic,63634,43001,669,10,383
339,Beige,Pontiac,Formula,Diesel,Standard,33596,139099,838,8,193
340,Dark Blue,Honda,Pilot,Diesel,Standard,22455,103684,,5,
341,Grey,Honda,Civic Sedan,V8,Standard,47039,137106,55,25,150
342,Orange,Peugeot,605,W,Standard,22278,4198,,29,
343,Light Grey,Audi,RS 6,W,Standard,24459,109926,546,24,452
344,Orange,BMW,3 Series,Diesel,Standard,49814,16262,296,6,278
345,Yellow,Pontiac,Sunbird,V6,Automatic,65392,17488,741,19,471
346,Green,Fiat,Strada,W,Automatic,18608,125958,798,0,402
347,Light Grey,BMW,550,Diesel,Standard,54270,52097,982,17,433
348,Green,Lexus,ES 250,Diesel,Automatic,675,6693,587,29,365
349,Dark Grey,Volkswagen,T4 Pickup,Diesel,Standard,65986,138482,193,16,88
350,Red,Renault,Avantime,Inine,Automatic,40491,46874,913,20,447
351,Pearl,Pontiac,J2000,Petrol,Automatic,61347,5941,836,10,466
352,Dark Grey,Mercedes Benz,SL500,Inine,Automatic,5726,6867,958,16,215
353,Green,Suzuki,Verona,Electric,Standard,39072,44102,,5,
354,Yellow,Mercedes Benz,C36,Electric,Standard,71452,16011,719,26,137
355,White,Lexus,RX 350,V6,Automatic,36413,119585,404,0,444
356,Light Grey,Audi,100,Petrol,Standard,31784,88014,392,16,343
357,Orange,Audi,A6,W,Automatic,62183,121347,245,15,264
358,Beige,Lexus,IS 250,Inine,Automatic,13249,101556,119,10,2
359,Green,Maserati,430,V6,Automatic,17751,20597,572,18,307
360,White,Maserati,GranSport,Electric,Automatic,24947,118586,568,11,287
361,Orange,Renault,Kangoo,Electric,Standard,46369,143521,,13,
362,Black,Renault,Magnum,Petrol,Automatic,64446,132610,105,3,453
363,Black,Renault,Clio,V8,Automatic,74858,29803,584,1,135
364,Grey,Volkswagen,Corrado,W,Standard,64246,123499,551,10,276
365,Pearl,Jaguar,XJ,V6,Standard,11735,19910,984,24,52
366,Light Grey,Porsche,Speedster,Petrol,Standard,40799,13054,483,27,125
367,Orange,Ford,Escort,W,Standard,5479,121350,658,5,248
368,Purple,Mercedes Benz,100 Van,Inine,Standard,25945,120636,321,18,208
369,Orange,Chevrolet,Z28,V6,Automatic,28161,25607,755,17,409
370,Blue,Renault,Midlum,V6,Automatic,30747,98513,352,3,30
371,Black,Pontiac,6000,V8,Automatic,7356,130251,538,6,185
372,Green,Mercedes Benz,560,V8,Automatic,9328,42435,570,22,34
373,Dark Grey,Audi,R8,Petrol,Standard,42341,85159,,10,
374,Black,Suzuki,Vitara,V6,Standard,46777,100308,67,19,363
375,Black,Toyota,Avensis,Inine,Automatic,33212,148990,630,14,122
376,Grey,Fiat,Dino,Electric,Standard,40149,73543,975,16,25
377,Dark Green,Mazda,323 F (BA),Petrol,Standard,57562,68585,692,3,236
378,Grey,Subaru,Forester,Inine,Automatic,9578,68860,235,22,436
379,Dark Grey,Lexus,ES 330,Petrol,Standard,27673,81972,115,24,300
380,Dark Blue,Suzuki,X-90,Diesel,Automatic,14637,75281,,2,
381,Red,Kia,Spectra EX,Electric,Automatic,7853,45760,316,1,407
